,year_month, heliofania_media, heliofania_total, pres_atm_nivel_mar, pres_atm_nivel_estacion, precip_max_24h, dia_precip_max, precip_total, dias_con_precip, viento_vel_med, viento_vel_max, humedad_relativa_media, temp_max, dia_temp_max, temp_min, dia_temp_min, media_temp_max, media_temp_min, temp_media, dias_menos_0, dias_entre_0_y_5, dias_entre_35_y_40, dias_superior_40, temp_rocio
34,2021_11,7.4,207.2,1012.1,993.5,60.2,16,147.3,8,4.1,22.2,79.3,36.5,4,15.6,30,31.0,20.3,25.0,0,0,4,0,20.9
35,2021_12,9.5,294.8,1009.3,989.6,11.4,13,27.1,4,4.7,35.2,68.4,39.0,29,17.0,1,34.7,21.3,27.6,0,0,17,0,20.7
36,2022_01,10.1,312.7,1008.3,989.8,29.0,3,71.5,5,6.8,37.0,67.0,42.0,24,19.0,10,36.4,23.2,30.2,0,0,12,9,21.7
37,2022_02,9.5,228.6,1009.8,991.1,52.6,4,117.1,6,5.5,92.6,69.3,39.0,16,17.6,9,35.8,21.8,27.6,0,0,18,0,20.8
38,2022_03,8.0,249.0,1011.8,992.9,76.6,22,375.9,10,7.8,31.5,77.6,37.0,7,12.0,31,30.5,19.8,24.0,0,0,7,0,19.8
39,2022_04,6.6,191.9,1013.1,994.2,63.4,10,320.4,9,7.1,20.4,82.6,34.4,27,9.6,15,27.9,18.3,22.1,0,0,0,0,18.7
40,2022_05,5.4,162.2,1017.9,998.2,53.8,27,149.6,10,5.3,20.4,87.3,29.8,1,6.0,20,22.3,13.1,16.8,0,0,0,0,14.4
41,2022_06,4.8,143.1,1017.8,998.2,13.8,16,38.4,5,5.8,16.7,87.0,28.6,21,1.0,12,20.6,11.4,15.6,0,4,0,0,13.4
42,2022_07,6.8,203.1,1014.1,994.9,11.4,11,25.7,5,7.4,29.6,75.5,32.2,26,5.0,13,27.1,16.0,20.9,0,2,0,0,16.0
43,2022_08,6.9,214.2,1017.4,998.0,25.4,6,42.8,3,7.1,25.9,78.5,33.0,27,3.0,20,24.9,13.7,18.6,0,2,0,0,14.5
44,2022_09,6.2,180.3,1016.2,996.6,34.2,19,125.0,10,6.5,25.9,80.5,35.4,8,7.0,23,24.3,13.9,18.4,0,0,1,0,14.7
45,2022_10,7.3,227.0,1013.6,994.5,71.6,5,234.6,12,6.6,40.7,79.0,36.0,26,11.0,11,27.0,16.2,20.8,0,0,1,0,16.7
